name,category,a_pubchemid,smiles,weight
fluticasone propionate,0,"'{""444036""}'",CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF,500.57085
tazarotene,0,"'{""5381"",""69552808"",""69664677""}'",CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(C=C2)SCCC3(C)C,351.46194
d-amphetamine,1,"'{""10220277"",""11401024"",""134480"",""14142530"",""20055472"",""20056914"",""21126633"",""21126634"",""23582898"",""25137958"",""25203400"",""57466127"",""5825"",""5826"",""67517652"",""67778733"",""71776329"",""87182702"",""87182896""}'",CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O,368.49092
docosahexaenoic acid,1,"'{""16219286"",""40486925"",""445580"",""71528762"",""71557178"",""71587300""}'",CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,328.48828
ambrisentan,1,"'{""57412100"",""57520499"",""6918493"",""6956382""}'",CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C,378.42108
fluticasone furoate,0,"'{""9854489""}'",CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)SCF)OC(=O)C5=CC=CO5)C)O)F)C)F,538.57577
olaparib,0,"'{""23725625""}'",C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,434.462823
lenvatinib,1,"'{""11237762"",""11260694"",""11261174"",""11307007"",""11465410"",""9823820""}'",COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl,426.85296
Norprolac,0,"'{""3086400"",""3086401"",""69503364""}'",CCCN1CC(CC2C1CC3=C(C2)C(=CC=C3)O)NS(=O)(=O)N(CC)CC.Cl,432.02026
eslicarbazepine acetate,0,"'{""179344""}'",CC(=O)OC1CC2=CC=CC=C2N(C3=CC=CC=C13)C(=O)N,296.32054
benidipine hydrochloride,0,"'{""29926976"",""45114194"",""656667"",""656668"",""67108126"",""69408887"",""71776386"",""87295480""}'",CC1=C(C(C(=C(N1)C)C(=O)OC2CCCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC.Cl,542.02318
dextran,0,"'{""5460037""}'",C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O,504.43708
10-undecenoic acid,0,"'{""14865"",""14891"",""19887268"",""19933779"",""22027059"",""23617473"",""23667258"",""23692638"",""24180934"",""5634"",""57485385"",""87091506"",""87091739"",""87096184"",""87242287"",""87254255"",""87254256"",""87559583"",""87920971"",""89443243""}'",C=CCCCCCCCCC(=O)O,184.2753
DHEC,0,"'{""107715"",""12940534"",""444034"",""7067366""}'",CC(C)C1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,611.73054
fluticasone,0,"'{""5311101"",""87516112""}'",CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)SCF)O)C)O)F)C)F,444.50759
