index,성분명,임부금기(등급),비고,허가사항,,,,,,,,,,,,,,,
1,(Micronized) Progesterone ,"1등급(경구), 
1등급(주사)
(다만 황체호르몬 부족으로 인한 유·조산 치료시 제외)",,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
2,3'-Deoxy-3'-Fluorothymidine(18F),2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
3,Abacavir,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태반이행 보고. 랫드에서 태자 체중감소, 부종, 골격변화, 기형, 조기 자궁내 사망, 출생지연 등 나타남.",,,,,,,,,,,,,,,
4,Abatacept,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 면역기능변형(갑상선과 췌장의 감염 등)보고.",,,,,,,,,,,,,,,
5,Abiraterone,1등급,,"임부에 대한 안전성 미확립.
모체의 호르몬 농도변화로 인한 태아발달에 위해 가능성.",,,,,,,,,,,,,,,
6,Acamprosate,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
7,Acarbose,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
8,Aceclofenac,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 비스테로이드성 소염진통제는 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
9,Acemetacin,2등급,,"동물실험에서 최기형성 보고. 태아 순환지속증, 동맥관수축, 동매관개존증, 신생아 신부전, 태아 장천공, 양수과소증 발생 보고. 
동물실험에서 비스테로이드성 소염진통제는 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
10,Acetazolamide,2등급,,"동물에서 기형발생 보고. 임상에서 임신 제1삼분기에 노출된 후 사지, 눈의 기형과 두개골-위턱얼굴 및 심장 기형 발생 보고.",,,,,,,,,,,,,,,
11,Acipimox,2등급,,동물실험에서 고용량 투여시 모체에 대한 독성에 의해 태자미숙 및 저체중의 발생빈도 증가 보고.,,,,,,,,,,,,,,,
12,Acitretin,1등급,,최기형성이 있음.,,,,,,,,,,,,,,,
13,Aflibercept,2등급,안과용 주사제 포함,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 보고.",,,,,,,,,,,,,,,
14,Alacepril?,2등급,,"임신 중기 및 말기에 ACE 저해제 투여시 양수과소증, 태아 및 신생아 사망, 신생아 저혈압, 신부전, 고칼륨혈증, 두개골형성부진, 사지의 구축, 두개안면변형 보고.
임신 첫 12주에 ACE 저해제 투여시 주요 선천성기형 발생 위험성 증가 보고.",,,,,,,,,,,,,,,
15,Albendazole,2등급,,동물 생식 연구 결과 태아 손상을 유발할 수 있음. 랫트와 토끼에서 기관 형성 기간 동안 투여 시(전체 신체 표면적에 대하여 정량화된 사람 권장 용량의 약 0.1?0.6 배를 경구 투여) 배아 독성 및 골격 변이가 보고. 임신가능성이 있는 여성은 이 약의 투여기간 동안 및 마지막 투여 이후 3일 까지 효과적인 피임 방법을 사용.,,,,,,,,,,,,,,,
16,Alemtuzumab,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
17,Alendronate,2등급,,"임부에 대한 안전성 미확립.
동물시험에서 착상후 생존율 감소, 고용량에서 불완전 골화 증가, 분만지연과 분만실패, 모체독성 보고.",,,,,,,,,,,,,,,
18,Aliskiren,2등급,,"임신 제2 및 3기에 투여시 저혈압, 신생아 두개골형성저하, 무뇨, 신손상, 양수과소증(사지구축, 두개안면기형, 폐발육부전과 관련 있음) 및 사망 보고.",,,,,,,,,,,,,,,
19,Allylestrenol,1등급,,-,,,,,,,,,,,,,,,
20,Almotriptan,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
21,Alogliptin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
22,Alprazolam,2등급,,"임신 후기 3개월이나 분만시 노출된 영아에서 이완소아증후군(근긴장저하)이나 신생아 금단증상(신경과민, 진전, 과긴장), 포유곤란, 졸음, 황달증가 발생 보고.",,,,,,,,,,,,,,,
23,Alprostadil,1등급,"좌제, 크림제, 외용액제 포함","(주사)
임부에 대한 안전성 미확립.
동물실험에서 자궁수축 작용 보고.
(액제)
동물실험에서 500㎍/kg 용량에서 배자독성, 2000㎍/kg 용량에서 흡수증가, 생존태자수 감소, 내장 및 골격변이 증가, 내장 및 골격의 육안적인 기형, 모체독성 보고.",,,,,,,,,,,,,,,
24,Altretamine,2등급,,"동물실험에서 과량 투여시 배자독성, 기형유발 및 태자의 생후 생존율 감소 또는 배자사망 보고.",,,,,,,,,,,,,,,
25,Amantadine,2등급,,"임신 합병증, 기형(심혈관의 결함, 수족의 짧음) 보고.",,,,,,,,,,,,,,,
26,Ambrisentan,1등급,,"임부에 대한 안전성 미확립.
동물실험에서 최기형성(하악골과 경구개·연구개 이상, 심장과 대혈관기형, 흉선과 갑상선형성장애) 보고.",,,,,,,,,,,,,,,
27,Amfenac,2등급,,"임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 동맥관수축, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
28,Amikacin,2등급,,신생아에 제8뇌신경장애 가능성.,,,,,,,,,,,,,,,
29,Amiloride,2등급,,"혈액량 감소, 혈액점도 증가 및 태반혈류량 감소와 관련.
태아와 신생아의 황달, 태아의 골수억제, 혈소판 감소 보고.",,,,,,,,,,,,,,,
30,Aminolevulinic Acid,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 배아독성 보고.",,,,,,,,,,,,,,,
31,Aminophylline,2등급,,"동물실험에서 기형발생 보고 및 신생아 구토, 신경과민 가능(테오필린).",,,,,,,,,,,,,,,
32,Amiodarone,2등급,,"임부에 대한 안전성 미확립.
부정맥 위험이 증가 될 수 있으므로 진통 및 분만 중에 사용 시 모니터링 필요.",,,,,,,,,,,,,,,
33,Amisulpride,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
34,Amitriptyline,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
35,Amlodipine ,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
36,Amosulalol,2등급,,"동물실험에서 치사율 및 신생자 사망률 증가, 암컷의 성주기 변화, 수태율 저하, 초기흡수 증가, 골화지연 보고.",,,,,,,,,,,,,,,
37,Amoxapine,2등급,,동물실험에서 삼환계 항우울약의 기형발생 작용 보고.,,,,,,,,,,,,,,,
38,Amsacrine,2등급,,"동물실험에서 기형발생, 태자독성 보고.",,,,,,,,,,,,,,,
39,Anastrozole ,1등급,,동물실험에서 생식독성 및 태자 생존율 감소 보고.,,,,,,,,,,,,,,,
40,Anidulafungin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
41,Aripiprazole,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 발생학적 독성(최기형성 포함) 증명됨.",,,,,,,,,,,,,,,
42,Arotinolol,2등급,,"동물실험에서 고용량 투여시 신우확대, 시신경결손의 자연발생빈도 증가 보고.",,,,,,,,,,,,,,,
43,Arsenic trioxide,2등급,,"동물실험에서 최기형성(신경관이상, 무안구증, 소안구증 등)보고.
사람에서 유산 보고.
유전독성 및 발육독성 유발.",,,,,,,,,,,,,,,
44,Artesunate,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 배아독성 및 최기형성 보고.",,,,,,,,,,,,,,,
45,Aspirin,2등급,,"정중배벽갈림증에 대한 위험성 증가 배제될 수 없음.
동물실험에서 생식독성 나타남, 태자의 동맥관 수축 보고.
임신 3기 동안 모든 프로스타글란딘 합성 저해제들은 태아의 심폐기관 독성(동맥관의 조기 페쇄 및 폐고혈압), 신기능 저하(이는 양수과소증) 유발 가능.
임신 말기에는 산모와 아이에서 출혈 시간 연장, 항응고 작용(저용량), 자궁 수축이 억제되어 분만시간 연장 또는 지연 가능.",,,,,,,,,,,,,,,
46,Atenolol (S-atenolol포함),2등급,,"임부에 대한 안전성 미확립.
베타차단제는 태반관류를 감소시켜 자궁내 사망, 미숙분만, 조숙분만 야기 가능.
분만 또는 수유중 투여시 신생아에서 저혈당증이나 서맥 위험 가능.",,,,,,,,,,,,,,,
