name,category,a_pubchemid,smiles,weight
5-hydroxytryptophan,2nd,"{144,17908938,25243949,45052530,74319400,74319401,77504836}",C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,220.22458
5-hydroxytryptophan,2nd,"{24208755,24802215,24802216,439280,68487401,6971044}",C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,220.22458
abacavir,B3,"{20055220,23624114,441300,441384,51031041,51041836,51041837,51042053,51042054,51042055,67082500,67082577,67588134,67588981,70124670,91669196,9822500,9843042}",C1CC1NC2=NC(=NC3=C2N=CN3C4CC(C=C4)CO)N,286.33232
abemaciclib,D,"{46220502,71576678}",CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,506.593386
abiraterone,D,"{132971,20056954,71283199,87316696,89766713,89766720,90189879,90285445}",CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,349.50904
acalabrutinib,C,{71226662},CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,465.5
acamprosate,B2,"{10219905,155434,21123437,23662448,23662449,3636249,57483952,71158,71311775,73707392,87094703,87614580,9886392,9909194}",CC(=O)NCCCS(=O)(=O)O,181.21014
acarbose,B3,"{41774,86583399,91659006}",CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,645.60482
aceclofenac,2nd,"{44464292,44466636,68435304,7048556,71771,89812799}",C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,354.18472
acemetacin,2nd,"{1981,25273596,69428135,70470286}",CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,415.82372
acetazolamide,B3,"{13290219,16051949,16223983,1986,20558603,24906315,44362972,66586997,67451462,70558788,71587279,78122553,90469712}",CC(=O)NC1=NN=C(S1)S(=O)(=O)N,222.24544
acetylcholine,B2,"{16072206,187,23615223,5315629,53249647,53372306,547020,6060,65551,71307531,71365429,71398908,75271,87308660,87308661,87400252,87839449,87909492,87928298,88314031,89485568,89485569,93565}",CC(=O)OCC[N+](C)(C)C,146.20744
acetylcysteine,B2,{12035},CC(=O)NC(CS)C(=O)O,163.2
aciclovir,B3,{135398513},C1=NC2=C(N1COCCO)N=C(NC2=O)N,225.2
