Drug Name,Category,Classification Level 1,Classification Level 2,Classification Level 3,,,,,,,,,,,,,,
abacavir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
abacavir / dolutegravir / lamivudine,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
abacavir / lamivudine / zidovudine,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
abacavir/ lamivudine,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
abatacept,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
abciximab,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
abemaciclib,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
abiraterone,D,Endocrine System,Antiandrogens,,,,,,,,,,,,,,,
acalabrutinib,C,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
acamprosate,B2,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
acarbose,B3,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
acetazolamide,B3,Cardiovascular System,Diuretics,Carbonic anhydrase inhibitor,,,,,,,,,,,,,,
acetazolamide (ophthalmic),B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
acetylcholine,B2,Ophthalmic Drugs,,,,,,,,,,,,,,,,
acetylcysteine,B2,Respiratory System,,,,,,,,,,,,,,,,
acetylcysteine (inhaled),B2,Respiratory System,Expectorants and mucolytics,,,,,,,,,,,,,,,
acetylcysteine (intravenous),B2,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
aciclovir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
aciclovir (topical),B3,Drugs used in Dermatology,Topical antiviral,,,,,,,,,,,,,,,
acitretin,X,Drugs used in Dermatology,Systemic,,,,,,,,,,,,,,,
aclidinium bromide,B3,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
aclidinium bromide / eformoterol fumarate,B3,Respiratory System,Inhalational agents,,,,,,,,,,,,,,,
actinomycin D (dactinomycin),D,Antineoplastic Agents,Antibiotic cytotoxic agents,,,,,,,,,,,,,,,
adalimumab,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
adapalene,D,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
adefovir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
adenosine,B2,Cardiovascular System,Antiarrhythmics,,,,,,,,,,,,,,,
adrenaline (epinephrine),A,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
afamelanotide,B1,Drugs Used in Dermatology,Systemic,,,,,,,,,,,,,,,
afatinib,C,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
aflibercept,D,Ophthalmic Drugs,,,,,,,,,,,,,,,,
agalsidase alfa,B2,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
agalsidase beta,B2,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
agomelatine,B1,Central Nervous System,Antidepressants,,,,,,,,,,,,,,,
alatrofloxacin,B3,Antimicrobials,Antibiotics,Quinolones,,,,,,,,,,,,,,
albendazole,D,Antimicrobials,Anthelmintics,,,,,,,,,,,,,,,
albutrepenonacog alfa,B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
alcuronium,B2,Drugs Used in Anaesthesia,Neuromuscular blocking agents,,,,,,,,,,,,,,,
aldesleukin,C,Antineoplastic Agents,,,,,,,,,,,,,,,,
alectinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
alefacept,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
alemtuzumab,B2,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
alendronate,B3,Endocrine System,Agents affecting calcium and bone metabolism,Bisphosphonates,,,,,,,,,,,,,,
alfentanil,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
alfuzosin,B2,Genitourinary System,Prostate hyperplasia,,,,,,,,,,,,,,,
alginates/antacids,A,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
alglucerase,B3,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
alglucosidase alfa,B1,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
alimemazine,C,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
alirocumab,B1,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
aliskiren,D,Cardiovascular System,Antihypertensives,Angiotensin II receptor antagonists and renin inhibitors,,,,,,,,,,,,,,
allergen pollen extract of 5 grasses,B2,Allergy and Immune System,,,,,,,,,,,,,,,,
allopurinol,B2,Musculoskeletal System,Agents used in gout and hyperuricaemia,,,,,,,,,,,,,,,
alogliptin / metformin,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
alogliptin benzoate,B3,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
alpha-1-proteinase inhibitor,B2,Respiratory System,,,,,,,,,,,,,,,,
alprazolam,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
alprenolol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
alteplase,B1,Cardiovascular System,Fibrinolytic agents,,,,,,,,,,,,,,,
altretamine (hexamethylmelamine),D,Antineoplastic Agents,,,,,,,,,,,,,,,,
amantadine,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
ambenonium chloride,B2,Drugs Used in Myasthenia Gravis,,,,,,,,,,,,,,,,
ambrisentan,X,Cardiovascular System,Endothelin receptor antagonist,,,,,,,,,,,,,,,
amethocaine (tetracaine),B2,Ophthalmic Drugs,,,,,,,,,,,,,,,,
amifostine,B3,Antineoplastic Agents,Non-cytotoxic supportive therapy,,,,,,,,,,,,,,,
amikacin,D,Antimicrobials,Antibiotics,Aminoglycosides,,,,,,,,,,,,,,
amiloride,C,Cardiovascular System,Diuretics,Potassium sparing diuretics,,,,,,,,,,,,,,
aminocaproic acid,B3,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
aminoglutethimide,D,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
aminoglutethimide,D,Endocrine System,Hormonal agents,,,,,,,,,,,,,,,
aminolevulinic acid HCl,C,Diagnostic Agents,,,,,,,,,,,,,,,,
amiodarone,C,Cardiovascular System,Antiarrhythmics,,,,,,,,,,,,,,,
amisulpride,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
amitriptyline,C,Central Nervous System,Antidepressants,Tricyclic antidepressants,,,,,,,,,,,,,,
amlodipine,C,Cardiovascular System,Antihypertensives,Calcium channel blockers,,,,,,,,,,,,,,
amlodipine / atorvastatin,D,Cardiovascular System,,,,,,,,,,,,,,,,
amlodipine / hydrochlorothiazide /valsartan,D,Cardiovascular System,,,,,,,,,,,,,,,,
amlodipine / olmesartan medoxomil,D,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
amlodipine / olmesartan medoxomil / hydrochlorothiazide,D,Cardiovascular System,,,,,,,,,,,,,,,,
amlodipine / telmisartan,D,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
amlodipine / valsartan,D,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
ammonium chloride,A,Respiratory System,Expectorants and mucolytics,,,,,,,,,,,,,,,
amobarbital,C,Central Nervous System,Hypnotics and sedatives,Barbiturates,,,,,,,,,,,,,,
amorolfine,B3,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",,,,,,,,,,,,,,,
amoxicillin,A,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
amphotericin,B3,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
ampicillin,A,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
amprenavir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
amsacrine,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
amylobarbitone (amobarbital),C,Central Nervous System,Hypnotics and sedatives,Barbiturates,,,,,,,,,,,,,,
anagrelide,B3,Antineoplastic Agents,,,,,,,,,,,,,,,,
anakinra,B1,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
anastrozole,C,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
ancestim,B2,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
anecortave,B1,Ophthalmic Drugs,,,,,,,,,,,,,,,,
anidulafungin,B3,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
anistreplase,C,Cardiovascular System,Fibrinolytic agents,,,,,,,,,,,,,,,
antithrombin III,C,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
anti-thymocyte immunoglobulin,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
apalutamide,D,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
apixaban,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
apomorphine,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
apraclonidine,B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
apremilast,B3,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
aprepitant,B1,Antineoplastic Agents,Non-cytotoxic supportive therapy,,,,,,,,,,,,,,,
aprotinin,B1,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
argipressin,B2,Endocrine System,Antidiuretics,,,,,,,,,,,,,,,
aripiprazole,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
armodafinil,D,Central Nervous System,CNS stimulants,,,,,,,,,,,,,,,
arsenic trioxide,X,Antineoplastic Agents,,,,,,,,,,,,,,,,
artemether with lumefantine,D,Antimicrobials,Antimalarials,,,,,,,,,,,,,,,
articaine,B3,Drugs Used in Anaesthesia,Local anaesthetics,,,,,,,,,,,,,,,
articaine / adrenaline,B3,Drugs Used in Anaesthesia,Local anaesthetics,,,,,,,,,,,,,,,
