name,category,a_pubchemid,smiles,weight
besifovir dipivoxil maleate,0,{6480442},CC(C)(C)C(=O)OCOP(=O)(COC1(CC1)CN2C=NC3=CN=C(N=C32)N)OCOC(=O)C(C)(C)C,527.5
tirofiban hydrochloride,0,"{24883425,40466968,56971750,60946,60947,64781}",CCCCS(=O)(=O)NC(CC1=CC=C(C=C1)OCCCCC2CCNCC2)C(=O)O.O.Cl,495.07286
progesterone,0,"{21121935,23616137,24820726,25028900,5994,68755821,69173430,70404185,77105905,88298146}",CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,314.4617
selexipag,0,"{50942972,50942973,9913767}",CC(C)N(CCCCOCC(=O)NS(=O)(=O)C)C1=CN=C(C(=N1)C2=CC=CC=C2)C3=CC=CC=C3,496.62168
decitabine,0,"{11631196,451668,53241319,53241320,53241322,53241412,53241413,53241414,53241417,53241418,55285357,66601416,68626099,68626812}",C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,228.20528
dutasteride,1,"{6918296,87259797,87726466,90272989}",CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C,528.529719
zofenopril,0,"{14103059,21150862,23652914,23672379,23672380,3033690,54797,71775003,86621827,87136203,88001440,88480378,92400,9912532}",CC(CSC(=O)C1=CC=CC=C1)C(=O)N2CC(CC2C(=O)[O-])SC3=CC=CC=C3,428.54438
acarbose,0,"{41774,86583399,91659006}",CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,645.60482
ethyl loflazepate,0,{3299},CCOC(=O)C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F,360.766763
etidocaine,0,"{37497,37498,4659567,75989741,9796823}",CCCN(CC)C(CC)C(=O)NC1=C(C=CC=C1C)C,276.41702
fluconazole,1,"{17785855,21759548,23711722,3365,66549392,66549393,66549394,66549585,66549586,68428046,68428048,87451713,9862025}",C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,306.270786
cyclophosphamide,1,"{18463831,22420,2907,69271762,87247391,87816218,87835319}",C1CNP(=O)(OC1)N(CCCl)CCCl,261.085962
estramustine,1,"{23615712,23711728,259331,66766837,67373397,67864775,69068424,70147853,71311863,87547676,90151187}",CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl,440.40314
cytarabine,1,"{23615268,23616220,23618640,23619026,46912694,46912695,51371137,6252,6253,66799802,67503441,67831264,74764111,90302914}",C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl,279.67756
adrenaline,0,"{11588020,122037,181464,20839685,23616109,23616110,23616111,24906312,441411,57343930,57485843,5815,5816,6442611,6604103,66760933,67629401,67900677,68410182,68516091,6852374,69007449,6920143,69825390,70090111,70581940,70617830,71478437,71478438,71478439,71587364}",CNCC(C1=CC(=C(C=C1)O)O)O.C(C(C(=O)O)O)(C(=O)O)O,333.29126
phentermine,0,"{22121376,23290315,24185863,24883436,4771,57525343,68740917,69664242,69664245,70357842,70969,87940270}",CC(C)(CC1=CC=CC=C1)N,149.2328
cefoxitin,0,"{16219129,20976088,23667300,441199,475319,67479958,78759335}",COC1(C2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CC3=CC=CS3,427.45208
vemurafenib,1,"{42611257,46940822,46940823,46940824,46940825,71617775,71617850,71617851,71773184,75245085,86307145}",CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)C4=CC=C(C=C4)Cl)F,489.922126
teicoplanin,0,{73348316},CC(=O)NC1C(C(C(OC1OC2C3C(=O)NC(C4=CC(=CC(=C4C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=C(C=C2C=C8)Cl)OC9C(C(C(C(O9)CO)O)O)NC(=O)C)OC1=C(C=C(CC2C(=O)NC(C3=CC(=CC(=C3)O)OC3=C(C=CC(=C3)C(C(=O)N2)N)O)C(=O)N6)C=C1)Cl)O)OC1C(C(C(C(O1)CO)O)O)O)O)C(=O)O)CO)O)O,1767.44564
sodium picosulfate,0,"{5243,5282431,53315055,68654,9826660}",C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)O)C3=CC=C(C=C3)OS(=O)(=O)O,437.4436
methotrexate,1,"{11329481,126941,165528,23678981,24906323,24906324,24906325,444319,45157423,54597265,66677768,66852826,66872440,67830829,69085264,69942416,76965607,86287395,87368260,87849933,90390693,9956683}",CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,454.43928
clodronate,0,"{16118420,16118421,18348496,20241280,20241655,21269504,22508292,23619782,23704265,23724874,24207518,25419,31195,4444912,4668904,6331715,71774532,73554303,76973540,88297460,9819589,9838967,9863899}",C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl,244.892384
romidepsin,1,{5352062},CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,540.69584
argipressin,0,{644077},C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,1084.2
remdesivir,0,{121304016},CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,602.6
reboxetine,0,"{24754241,24848692,25271912,65856,68553158,87555151,88922222,9953331}",CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=CC=C3,313.39082
cinnoxicam,0,{6436090},CN1C(=C(C2=CC=CC=C2S1(=O)=O)OC(=O)C=CC3=CC=CC=C3)C(=O)NC4=CC=CC=N4,461.48976
iobitridol,0,{65985},CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)NC(=O)C(CO)CO)I)C(=O)N(C)CC(CO)O)I,835.16443
tofisopam,0,"{5502,69103698}",CCC1C(=NN=C(C2=CC(=C(C=C12)OC)OC)C3=CC(=C(C=C3)OC)OC)C,382.45284
folic acid,0,"{13127429,14090986,21226118,23177429,23278055,3405,43833346,53461812,66710006,66814499,67601681,68294324,68294441,70170878,70171365,87198580,87198633,89486711,89599718,9891283}",C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N,441.39746
levocabastine,0,"{50986661,51371453,54384,54385,86295142,87454118}",CC1CN(CCC1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F.Cl,456.980003
hydrocortisone,0,{229860},CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,362.4599
iopamidol,0,"{65492,87525849,88090834}",CC(C(=O)NC1=C(C(=C(C(=C1I)C(=O)NC(CO)CO)I)C(=O)NC(CO)CO)I)O,777.08529
ozanimod,1,{52938427},CC(C)OC1=C(C=C(C=C1)C2=NC(=NO2)C3=C4CCC(C4=CC=C3)NCCO)C#N,404.5
prucalopride,0,"{18360799,18360801,18360802,18360803,21851994,21851995,3052762,9870009,9931054}",COCCCN1CCC(CC1)NC(=O)C2=CC(=C(C3=C2OCC3)N)Cl,367.87034
phenoxymethylpenicillin,0,"{164549,21120045,23616334,23616583,23676814,23687231,46174101,6426739,6869,69502432,70146124,9865150}",CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C,350.38952
phenylephrine,0,"{11573270,23616177,3084270,441279,44630434,45114086,46174134,46241919,5284443,6041,657210,67419233,6926378,69620459,70479535,71478443,71478444}",CNCC(C1=CC(=CC=C1)O)O,167.20502
fulvestrant,1,"{104741,87157946,87370437}",CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,606.770796
chlormadinone,1,{5284533},CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)CCC34C)Cl)C)O,362.89028
clenbuterol,0,"{19427048,2783,30849,46864214,49853448,5231296,5702273,69233014,70404562,77632897}",CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,277.19012
