name,smiles,probability,output
agomelatine,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,0.038757426868957306,0.0
baloxavir marboxil,COC(=O)OCOC1=C2C(=O)N3CCOCC3N(N2C=CC1=O)C4C5=C(CSC6=CC=CC=C46)C(=C(C=C5)F)F,0.03881577776722274,0.0
butoconazole,C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl.[N+](=O)(O)[O-],0.03880506770847384,0.0
fluvastatin,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F,0.3477766775769916,1.0
cinacalcet,CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F.Cl,0.03882980490584597,0.0
amosulalol,CC1=C(C=C(C=C1)C(CNCCOC2=CC=CC=C2OC)O)S(=O)(=O)N,0.038816363733026674,0.0
lenvatinib,COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl,0.18981323996431917,1.0
bromhexine,CN(CC1=CC(=CC(=C1N)Br)Br)C2CCCCC2,0.038877173816023396,0.0
entrectinib,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6,0.15426096079154228,1.0
buspirone,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,0.03881206652292482,0.0
methylene blue,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2,0.29164454493641184,1.0
aminolevulinic acid,C(CC(=O)O)C(=O)CN,0.03880326243348295,0.0
amethocaine,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C,0.038845438878359236,0.0
trientine,C(CNCCNCCN)N,0.1886238088254771,1.0
dofetilide,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,0.24183891032632146,1.0
desonide,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)C,0.03883044383330098,0.0
isavuconazole,CC(C1=NC(=CS1)C2=CC=C(C=C2)C#N)C(CN3C=NC=N3)(C4=C(C=CC(=C4)F)F)O,0.16608851856686907,1.0
vitamin a,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,0.6554077586852689,1.0
paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,0.2994984960537251,1.0
plitidepsin,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(=O)C)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,0.1367671247231918,1.0
brompheniramine,CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2,0.03883963616179234,0.0
cefepime,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-],0.03885616425104672,0.0
carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0.6722529327760687,1.0
sulthiame,C1CCS(=O)(=O)N(C1)C2=CC=C(C=C2)S(=O)(=O)N,0.033089022283142956,0.0
chloral hydrate,C(C(Cl)(Cl)Cl)(O)O,0.03882380721560546,0.0
